ground_truth,prediction,confidence
تتاڤي کڤد سکلين مأنسي دان اسلام,تتافي کڤدسکلين مأنسي دان اسلام,0.9741118876347266
توهن) دان بوکنڽ فرچاي اکن,تومن دان بوکنڽ فرچاي اکن,0.9317491730437534
ايت.,ايت,0.8478657749934525
بومي ايله کتاڽ بومي ايت برچراي,بومي ايله کتأن بومي ايت برچراي,0.951740429004888
سڤرت بومي بولن متهاري دان بينتڠ),مڤرت بومي بولن متهاري دان يينڠ,0.8474629636091459
دکرنياکنڽ هيدوڤ بݢيتو جوݢ,ديکرنياکنڽ هيدوڤ بݢيتو جوݢ,0.9494377038620381
دان اي تيدق همڤاکن ساتو مخلوقڽ,دالن اي تيدق همڤاکن ساتو مخلوقڽ,0.8895833696418013
"رب العالمين"" کتاڽ درڤد اياة اين کية",رب العالمين کتاڽ درلد اياة اين کية,0.9530796200060255
فهمکن يأيت الله تله منجاديکن تيڤ٢,فهمکن يأيت الله تله مننجاديکن تيڤ٢,0.9102427812900804
منجاݢ تيڤ٢ مخلوق دان اوله کران,منجاݢ تيف٢ مخلوق دان اوله کران,0.9909129122679788
يڠدتنتوکن دڠن ساتو قوم سهاج,يڠدتتوکن دڠن ساتو قوم سهاج,0.9542387651974498
دسيسيڽ تمڤت فربيذأن ساتو مخلوق,دنيسيئتمڤت فربيذأن ساتو مخلوق,0.807934495251453
ايت جادي اونتوق اورڠ٢ يهودي ايله,ايتجادي اونتوق اورڠ٢ يهودي ايله,0.9799797981195023
درڤد انتارا مريک.,درڤد انتارا مريک,0.9886596890238384
(بچاله جواڤن دقتور اين کڤد اخبار,بچاله جواڤن دقتور اين کفداخبار,0.9064150144917391
اي ماسوق کدالم ڤڠاجران اسلام,اي ماسوق کدالم ڤڠاجران اسلام,0.9569366862723648
سموا يڠددالم طبيعة ايت مڽمڤرناکن,سموا يڠددالم طييقة ايت مڽڤرناکن,0.7705003947554661
مأنسي دراية اڤبيل سئورڠ ملاکوکن,مأنسي دراية الفيل سئورڠ ملاکوکن,0.991102485525717
طبيعة دان چنتوهڽ ايت سڤرت,طبيعة دان چنتوهڽ ايت سڤرت,0.9856002288670853
