ground_truth,prediction,confidence
اين تله اد سئورڠ ملايو ندودق,اين تله اد سئورڠ ملايو فندوق,0.9496493140207592
يڠ سجهترا دان ترايلوقله فراڠي٢ يڠ,ڠ سجهترا دان ترايلاوقله فراڠي٢ڠ,0.8267113350533262
الثانويه (ڤرتڠاهن) دان الاستاذ,الثانويه (ڤرتڤاهن) دان الاستاڤ,0.8149823537949213
هرݢ سکاتي ݢته يڠ,شرك سکاني کنه بيڠ,0.6772299456170038
کمحکمه دائره دمان تودهن ايت,کمکمه دائره دمان تودهن ايت ,0.8663878617799274
فورموسا؟ تيدق بنر,وروما؟ تيد بن,0.5875683907981469
ددالم,ددالم,0.9038718506533547
فراونتوقءن تمباهن کمنترين,راووتونڠن تيماءن کمترین,0.4920190677962591
ڤرهمڤونن٢ دان ڤرسکتوان٢ اسلام,فرهمڤونڽ٢ دان فرسکتوان٢ اسلام,0.8364518459599645
يڠمهامليا يڠدڤرتوان بسر نݢري,يڠمهامليا يڠدڤرتوان بسر نݢي,0.875379048733294
ادکه بوله ڽيرود ݢوناکن,ادکه بوله ڽيرو دݢوناکن,0.8952665569716474
قدح سلاتن تڠݢوڠن تيدق,سالن تڠکو تبدي,0.4925491806134692
اين جم 5.00 فتڠ.,الين جم 5.00 فڠ.,0.7951277514457372
يڠچوکڤ درڤد کارڠنڽ دراية اي تله,يڠچوکڤ درڤدکارڠنڽ درايةاي تله,0.8090795451948761
وله اݢام.,وله اکام.,0.9469132876198396
فاݢي: 7.15 فمبوکان 7.17,الناي:7.15 فهم کان. 17 7.17,0.7195623365585854
فرکارا باطل يڠ تربية درفد مريکئيت,فرکارا باطل يڠ تربية درفد مربکيت,0.7800891713727749
واڠ انتوق فمبينأن جالن راي,الڠنوق فنبينان راي,0.6261457936066013
بهوا دي تله فون مڠرهکن,ڽهواي تلهة دون مغرکن,0.6143365973717853
هاري وانيتا برݢنتوڠ دأتس سوکڠن دان بنتوان دري قوم,هازي واتينا برکتوڠ داتس سوکفن دان بنتوان دري فوم,0.6654150046902431
کرجأن دان 26 ددالم ڤجابة تنامن.٢,.کراجأن دان 26 ددالم فجأة تنامن٢,0.7625189041975083
برسروله فڽرو دمان احمد دان اومتڽ?,برسروله فيرو دمان احمد دان اومنڽ?,0.904583235378596
فراوباهن مڠنأي فرتنديڠن فد,واراڠا مڠنای فرنتنديك فd,0.5010205099492938
متى ظهر فکونوا ناصربه,متى ظهر فکونوا ناصره,0.9636090664032583
سربي سکاليفون کاي.,سربي سکاليفون کاي. ,0.8939053818182103
نبي کيت بريبو٢ تاهون دڠن جالن,نبي کيت بريبو٢ تاهون دڠن جالن,0.9544935177228957
9. ايسيڽ حکاية٢ لام اين کباڽقکنڽ,9. ايسيڽ حکاية٢ لام اين کباڤکنڽ,0.9492163845222172
مريد يڠتله منداڤت ڤندوان درفد,مرید يڠتله مندافت ڤندوان درفد,0.8270477251703239
سيڠافورا اکن ملنچرکن لاݢي,يڠتورا اکن منجني تن لاکي,0.628094599254367
هرݢ ݢته,هرت کمه,0.7093689030390969
منجادي دوا کمفني مک,منجادي دوا کمفني مك,0.9743568878213589
فندي مڠارڠ، سبب ايت ماجوکنله -,فندی مڠارڠ، سبب ايت ماجوکله,0.8311392164280352
اسلام کران فتوا ايت بوله,سلام کران فنوا ايت بوله,0.8821714543963145
بوله دسيمفن,بوله دسيمن,0.8397417481840387
دولو.,دوله,0.46095936693230705
برلاون ددالم فرتنديڠن کچنتيقکن,برلاونا ددالم فرتنديڠن کچتيڠکن,0.7675216596217973
نيفو اکندي.,نيفو اکندي,0.7974806041414603
سݢل يڠددالمڽ ايت سبهاݢين,سݢل يڠدالمڽ ايت سبهاݢين,0.8601362398315558
فراڠي دمکين کورڠله همه,فراڠي دمکين کورڠله همه,0.9635305626775105
تنتڠ فراونتوقءن,منڠ فراو توقن ,0.6379408817346075
مولا٢ راج يمن مماکي مهکوت مک,مولا٢ راج بن مماکي مهکوت مك,0.8418541569793528
ردعا مدهمداهن ڤرجلانن زکاة,بردعا مدهمداهن فرجلانن زکاة,0.8812462747562139
اورڠ انق يڠديم ديمن انم اورڠ دان,اورڠ انق، يڠديم ديمن انم اورڠ دان,0.8882200519243997
ملايو اوله سبسر٢ فنديت ملايو يڠبراوسها دان برهمه تيڠݢي انچيء باتو - حروف فريڠݢي - حروف عرب,ملايو اوله سبسر٢ فنديت ملايو يڠبراوسها دان برهمه تيڠکي انچيء باتو - حرف فريڠݢي  - حرف رب  ,0.8454250682113316
اي ماسوق کدالم ڤڠاجران اسلام,اي ماسوق کدالم فڠاجران اسلام,0.8316010379945954
برسيرقله دعالم يڠلواس اين کهيدوڤن,برسيقله دعالم بغلواس اين کهيدوفن,0.655666177578035
فدماس ايت تله مند انڠکن کسوساهن,فدمس ايت تله مند انڠکن کسوساهن ,0.8498716645631664
دانتارا يڠ حاضر ايت ايله,دانمار يڠ خاضر ايت ايله,0.8563609746421125
سيد عبسي,سيد عبسي,0.5960859711136391
سلامة فاݢي، 7.30 ورت بريتا،,     7.30 ورت بنتا   ,0.5586745580695363
دي ريبيق.,دى ريبيرق. ,0.8394221291490161
کرونتوهن اخلاق,کرو نتوهن اخلاq,0.7014369920397313
هندقله دهافوسکن دان ساتو فراتوران,هنقله دهافوسکن دان ساتو فراتوران,0.8970111545626392
ستڠه٢ تمڤتڽ ماسيه بربوت٢ دان,ستڠه٢ تمڤڠ ماسيه بربوت٢ دان,0.912141665096646
ادکه اي لاکي٢ اتو ڤرمفوان اتو بومي,ادکهاي لاکي٢ اتوڤرمفوان اتو بومي، ,0.8615822946584195
رنته کرس اومڤما فرنته مڠحرامکن,رنته کرس اومڤما فرنته مڠترامکن,0.890423763886027
يڠبنر,يڠبر,0.8090718101808565
موک ڤون تبل سمبيل ترسيڤو,موك فون تبل سمبيل ترسيڤو,0.9480698181143762
دبنرکن نايک دڠن تياد بايران دان,دبترکن نايك دڠن تياد بايران دان,0.9033417476866242
1 اتو دوا لفس ماکن مالم.,1. اتو دوا لفس ماکن مالم.,0.8845182875962914
کڤد ممبونه دان مڠݢوناکن کقواتن,کڤد ممبونه دان مشکوناکن کقواتن,0.9286946587577828
دسولامي اوله جناک بڠساون,ولسمي أوله جناب بڠساڽ,0.6394256809561806
کارڠن٢ لام ايت تياد برفراتوران.,کارڠن٢ لام ايت تياد برفرانوراڽ.,0.9026007364069537
تيدق اکن براخر سلاکي...,...تيدق اکن براخر سلاکي...,0.8585888779291391
کواڠ يأيت جالنراي تانه ميره,کواڠ بأت جالنراي تانه ميره,0.7439408247711351
اوله فرساتوان فرنيݢأن چينا,له فرسانون فرکينکن بيڠسا,0.5782411724062304
جک تيدق اوله کران برساڠتن لوب,جك تيدق اوله کران برساڠتن لوب,0.948483265479207
منچوب هندق منيڤو سئورڠ برنام حاج بصير,منچوب هندق منيڤو سئورڠ برنام حاج بصير,0.9466743429611516
دمان٢,دمان٢,0.7962790558035423
ممباليڠ دڠن بوتل ايت اياله کران,ممباليڠ دڠن بوتل ايت اياله کران,0.8900496727518133
دان يڠدکتاکن سموا ددالم عالم ايت,دان يڠد کتاکن سموا ددالم عالم ايت ,0.9222428875610119
بواهن٢ دان سايوران٢. 6,6. دان سايوران.,0.7371641692782966
منجاݢ تيڤ٢ مخلوق دان اوله کران,منجاݢ تيف٢. خلوق دان اولمکران,0.8110725295226267
سموا قوم وانيتا دسرو مڠحاضري فرهيمفونن اين,سوا قوم وانتي دسرو مڠحاضر فرهمفونين سن,0.6164729950148244
تتافي بلوم اد يڠدکمفولکن ستمفة,تتافي بلوم اد يڠدکمفولکن ستمفة,0.9019581233281793
ادڤون اݢام اسلام اين هڽاله,ادڤون اکام اسلام اين هباله,0.7121462550317227
مندافتکن فرمفوان يڠ هوده ايت,مندافتکن فرموان يڠ هوده ايت,0.9313257308374644
کاتي اداکن,کاني اداکن,0.9633841836033928
ممݢڠ تراجو ددالم ڤرچاتوران ڤرنيݢأن,مڠݢتراجو ددالم فرچاتوران فرنيݢأن,0.9227175728217072
هاتي. کارڠن٢ رنچان (Essays),(Essays) هاتي. کارڠن٢ رنچان ,0.7846841239952482
يڠ چنتيق٢ ايت سبب دوا تاهون ترلبه,يڠ چنتيق٢ ايت سبب دوا تاهون ترله,0.8170310308540029
الرشاد تعجيل القضاء المبرم ،اصابة,الرشاد، تعجيل القضاء المبرم باصابة,0.8263952419560838
مليسيا کلق.,ماسيا کلک. ,0.6723328629162509
سوسننڽ دان جالن نحوڽ عرب,سوسنتڽ دان چالن نجوان عرب,0.8265874492903599
کراجأن نݢري  ڤهڠ يڠ برسيدڠ بهارو٢,کراجأن نݢري ڤڠ يڠبرسيدڠ بهارو٢,0.8379505865092127
فد مک نمبر 17⹁,فد موك نمبر 17. ,0.8977524696749156
کمد فمباچڽ٢ - تتافي بسر ݢونڽ,کمد فمباچن٢ - تتافي بسرکونن,0.8785836947585411
تتاڤي کڤد سکلين مأنسي دان اسلام,نتائي کڤرسکلين مأنسي دان اسلام,0.8171036049678221
في النشأة الفخيمة الخديويه، حاشية على,في النشأة الفخيمة الخديويه حاشية على,0.8828389850163252
کباڽقکن تيروان جوݢ کالو تيدق,کباڽقکن تيروان جوك کالو تيدق,0.935713295984879
کلايقئنڽ بکرج سام٢ دڠن اورڠ٢,کلايفتڽن بکرج سام٢ دڠن اورڠ٢ ,0.8482068937280609
ڠن نام فرض کفايه ايله سڤاي تيڤ٢,ڠنام فرض کفايه ايله سڤاي تيف٢,0.9105607695030848
ترلوچوتله دري صنوباري مريکئيت,ترلوجوتلة دري صنوباري مريكئيت,0.8195705699456536
"مپيفکنڽ""، کات أ، امين لاݢي.",مڠکن : اکتا دمین لاݢ.,0.5678160449074102
ورت بريتا، 5.10 هرک,5.10 مركت برينا,0.7168230834435398
طبيعة دان چنتوهڽ ايت سڤرت,طبيعة دان چنتوهن ايت سثرت,0.9086079191654945
مناريق هاتي اورڠ سبب سدف,مناريق هاتي اورڠ سبب سدف,0.8499718050202233
توان٢:ـ دسين دسبوتکن ڤول,توان٢ڽ  دسين دسبوتکن ڤول,0.7478200619805029
قدح سلاتن دسيني بليق,فلاج سلاتن دسيني بلبيو,0.5408047203413975
ڤݢاوي دائره ڤادڠ تراڤ قدح تله,مڠکاوي دائره فادڠ تراڤ قدح تلة,0.7784749559368683
ملايو منموءي توکوه٢ علماء,اللومنوي تورك٢ عاما.,0.6495450298581142
تله دڤيندا دان دجاديکن ملاريکن,تله دڤيندا دان دجاديکن ملاريکن,0.8866427564586381
نولڠ دڠن بربودي کران الله سهاج,دڠن بربودي کران الله سهاج,0.9074410546171428
