Identifier,ground_truth,prediction,confidence,chosen_text,chosen_source
UM-1963-08-20-01-10-Column-46-10,تيدق لاهير، مک ککاچوان,تڠسل لاعس، مك کنجوان,0.5605478426329096,تڠسل لاعس، مك کنجوان,PRED
0008_warmal_19380526_0002_102,ببراف باڽق حکاية٢ بارڠکالي تله هيلڠ,براف باڤ حکاية٢ بارڠکالي تله هيلڠ,0.8747120442693036,براف باڤ حکاية٢ بارڠکالي تله هيلڠ,PRED
WM-1933-08-02-0003_14_Column-14-11,دان ڤڠاول تله دتمڤتکن دتلوق بياس,دان فڠاول تله دتمفيکن دتلوڤ بياس,0.791973255958225,دان فڠاول تله دتمفيکن دتلوڤ بياس,PRED
0005_warmal_19380420_0001_84,(138) ڤونچا کجيأن ايت ايله بربنتوان٢,(138) ڤونچا کجيأن ايت ايله بربتوڽ٢,0.8963639022002321,(138) ڤونچا کجيأن ايت ايله بربتوڽ٢,PRED
UM-1963-08-16-02-16-Column-17-3,الجيرس 15 اوݢس ة - دڠن رسمي نݢري الجيريا سمالم تله منوده,الجيرس 15 اوكس ء - دڠن رسمي نݢري | الجبريا سالم تله منود,0.756550050716478,الجيرس 15 اوكس ء - دڠن رسمي نݢري | الجبريا سالم تله منود,PRED
WM-1933-08-02-0003_16_Column-16-28,ڤڠير يڠ٢ڽ ادله براڠکت کڤولو ڤينڠ,فشيريڠ٢ن ادله برڠکت کڤولو فيڠ,0.8193300049166302,فشيريڠ٢ن ادله برڠکت کڤولو فيڠ,PRED
WM-1933-08-02-0007_39_Column-37-57,ڤکرجأن انچي ءعبد الجليل دڠن بهاس,فکرجأن انچي عبد الجليل دڠن بهاس,0.8748867781785505,فکرجأن انچي عبد الجليل دڠن بهاس,PRED
UM-1963-08-24-10-13-Column-64-17,دري انم اورڠ وانيتا دان امفة,Riz i M uRq ni aYiNa an Ma,0.26548722860295115,دري انم اورڠ وانيتا دان امفة,GT
WM-1933-08-02-0004_25_Column-24-41,رديري بتول ددالم ڤهڠ دان کيت,زديري بتول ددالم ئهڠ ذان کيت ,0.7417991845291588,زديري بتول ددالم ئهڠ ذان کيت ,PRED
0004_warmal_19380301_0002_36,مک کتوا فلاين يڠ توا ايت فون,مك كنتا فلاين يڠ تواليت فوز,0.837071940179583,مك كنتا فلاين يڠ تواليت فوز,PRED
0001_warmal_19380105_0001_20,چوب کامو فيکر جکلو سوات,جوب کمو فيکر جکلو سوات,0.9254310544230134,جوب کمو فيکر جکلو سوات,PRED
UM-1963-08-14-04-26-Column-5-18,فرسکتوان ملنچرکن رنچاڠن٢ فمباڠونن لوار,Merskan melnjar KEN Rنجأن ٢ فمبڠولن لوار,0.4722395041514316,Merskan melnjar KEN Rنجأن ٢ فمبڠولن لوار,PRED
UM-1963-08-16-02-24-Column-18-59,"""فردان منتري بن بينلا","""فوردن مهري بيننلا""",0.45842199063617883,"""فوردن مهري بيننلا""",PRED
0001_warmal_19380105_0001_45,سبدا نبي صلى الله عليه وسلم مک,ستبدا نبي صلى الله عليه وسلم مك,0.7442410453722201,ستبدا نبي صلى الله عليه وسلم مك,PRED
0002_warmal_19380105_0002_70,ممفوڽأي موتوربس ايت اکن,مڠوڽأي موتوربس ايت اکن,0.8410554607187071,مڠوڽأي موتوربس ايت اکن,PRED
UM-1963-08-14-08-9-Column-13-42,جواتنکواس چواڠن اين ترماسوق کتوا دان ستياوسهاڽ يڠ کاله,جوانتکواس بچوان انین ترماسکونکوا دان ستيوسبان يڠ کاله,0.6878376333951752,جوانتکواس بچوان انین ترماسکونکوا دان ستيوسبان يڠ کاله,PRED
UM-1963-08-14-05-25-Column-7-6,فردباتن ايت تيمبول کتيک,فردينات ايت تيمول کنتيك,0.6215659391647564,فردينات ايت تيمول کنتيك,PRED
UM-1963-08-17-06-23-Column-41-1,براوچف دالم کوڠݢريس,بروفف دالم کونفرنس,0.5001812473962796,بروفف دالم کونفرنس,PRED
0010_warmal_19380527_0002_86,مڠݢمبرکن حال احوال ملايو جاتي,مڠݢمبرکن حال احوال ملايو جاتي,0.988206772018198,مڠݢمبرکن حال احوال ملايو جاتي,PRED
0010_warmal_19380527_0002_38,شيخ انو کات امام انو.,شيخ انو کات امام انو. ,0.8991300398254598,شيخ انو کات امام انو. ,PRED
0010_warmal_19380527_0002_132,بايک سرت براس سݢر دان قوة. جاڠنله,بايك سرت براس سݢerdan قوة جاغنله,0.8227730465693196,بايك سرت براس سݢerdan قوة جاغنله,PRED
0010_warmal_19380527_0002_41,ملايو - فرکتأنڽ سهاج ملايو،,ملايو - فکتأڽ سهاج ملايو  ,0.7982255187538153,ملايو - فکتأڽ سهاج ملايو  ,PRED
UM-1963-08-23-08-23-Column-55-17,7.50 هيبوران سارافن، 8.15,8.15 7.50 هيمون سارفن,0.7180749460506841,8.15 7.50 هيمون سارفن,PRED
UM-1963-08-14-06-5-Column-9-0,(فرايکاتن تمرلوه) مننتڠ,مڽفلاکيتس تعلوره) مڠنته,0.49764116425599725,مڽفلاکيتس تعلوره) مڠنته,PRED
UM-1963-08-17-03-28-Column-36-1,تامن کالڠ کاواسن فراوسهأن,نامن کالڠ کاوسن فراوسهن,0.7274793923060834,نامن کالڠ کاوسن فراوسهن,PRED
WM-1933-08-02-0003_11_Column-11-28,ميس سولوچانا,ميس سولوجانا,0.8978781512872867,ميس سولوجانا,PRED
UM-1963-08-14-04-37-Column-6-33,همفير ساتو جوتا رڠݢية دان,همسر ساتو زتاكيا دن,0.5434368353114001,همسر ساتو زتاكيا دن,PRED
0008_warmal_19380526_0002_101,ملايو بتول ايسيڽ. نماڽ فون داݢغ،,ملايو بتول ايسڽ. نماڽ فون داݢڠ، ,0.853045592473085,ملايو بتول ايسڽ. نماڽ فون داݢڠ، ,PRED
WM-1933-08-02-0008_43_Column-41-29,سهاج روڤ٢ تأماو اتو تاکوة مڠأڠکت,سهاج روي ب٢ تأامو اتوتا کورة مڠأڠکت,0.662012409118402,سهاج روي ب٢ تأامو اتوتا کورة مڠأڠکت,PRED
WM-1933-08-02-0006_30_Column-29-30,يڠترکنل بايک برسام٢ دڠن اورڠيڠ,يڠترکنل بايك برسام٢ دڠن اورڠيڠ,0.9601329041088823,يڠترکنل بايك برسام٢ دڠن اورڠيڠ,PRED
WM-1933-08-02-0008_46_Column-44-87,ساي اکن سمبوڠ ددالم ڤرکارا اين,ساي اکن سمبوڠ ددالم فرکاراين,0.901426943629124,ساي اکن سمبوڠ ددالم فرکاراين,PRED
0001_warmal_19380105_0001_108,رواية ارتيڽ سسڠݢوهڽ اکو خاتم,رواية ارتيڽ سسڠوهڽ اکو خاتم ,0.8746427348403039,رواية ارتيڽ سسڠوهڽ اکو خاتم ,PRED
WM-1933-08-02-0004_23_Column-22-58,صحابة٢ڽ يڠ کاي يڠ تيدق سکالي٢,سحابة٢ن يڠ کاي يڠ تيدق سکالي٢,0.9433672218837326,سحابة٢ن يڠ کاي يڠ تيدق سکالي٢,PRED
0010_warmal_19380527_0002_131,داره اکن برسيه دان کصيحاتن برتمبه,داره اکن برسيه دان کصيحاتن برتمه,0.885566240548638,داره اکن برسيه دان کصيحاتن برتمه,PRED
UM-1963-08-24-08-31-Column-65-25,لاءوة دڠن هيليکوفتر، 7.15,لاوادة دنن هلسلکوفنتر 7.15,0.6046338797314965,لاوادة دنن هلسلکوفنتر 7.15,PRED
0007_warmal_19380526_0001_62,جاڠن منيڤو سوک دجامه,جاڠن منيڤو سوك دجامه,0.9304356334006901,جاڠن منيڤو سوك دجامه,PRED
WM-1933-08-02-0007_42_Column-40-92,يڠساڠت مموجي انچيء عبد الجليل,يڠسڠت مموجي انچيء عبدالجليل,0.7802027826320685,يڠسڠت مموجي انچيء عبدالجليل,PRED
WM-1933-08-02-0008_46_Column-44-46,يڠلاين دڠن ترڠ مڽبوتکن نام رسول,بڠلاين دڠن ترڠ ميبوتکن نام رسول,0.8758080176800831,بڠلاين دڠن ترڠ ميبوتکن نام رسول,PRED
UM-1963-08-14-04-26-Column-5-51,دفنوهي اوله هوتن بلنتارا، دان ساتوڽ٢ دأيره,D夫نهy awlhe هوتن بلنتارا. Dax satun ٢ اير.,0.5440373216908366,D夫نهy awlhe هوتن بلنتارا. Dax satun ٢ اير.,PRED
0008_warmal_19380526_0002_121,وقت، دان مڽوبر فڠتهوان بهاس.,وقت، دان مهوب فڠهوان بهاس,0.8627277083188212,وقت، دان مهوب فڠهوان بهاس,PRED
UM-1963-08-16-01-13-Column-16-12,رعية برساتو سراوق برکات,مڠية برسا سراون بrzکات,0.5172073662425102,مڠية برسا سراون بrzکات,PRED
0005_warmal_19380420_0001_68,(131) لبه بايک سسئورڠ ايت تياد ممبوات,(131) لبه بايك سسؤورڠ ايت تياد ممبوات,0.8821256121367235,(131) لبه بايك سسؤورڠ ايت تياد ممبوات,PRED
WM-1933-08-02-0007_41_Column-39-87,ساتو تڠݢوڠن سباڽق 100$ سڤاي,ساتو تڠکوڠن سباڽ 100 سڤاي,0.7445209517873184,ساتو تڠکوڠن سباڽ 100 سڤاي,PRED
WM-1933-08-02-0007_42_Column-40-82,يڠبايک ددائره کوالا ڤيله.,بڠبايک دسائره کوالا قيله,0.8232253483232068,بڠبايک دسائره کوالا قيله,PRED
0007_warmal_19380526_0001_84,عقل فيکرڽ ميريڠ سبله,عقل فيکرڤ ميريڠ سبله ,0.8304518273248869,عقل فيکرڤ ميريڠ سبله ,PRED
0005_warmal_19380420_0001_73,(133) کسوسهن دان کساکيتن ايت قضاء,(133) کسوسهن دان کساکيتن ايت قضاء,0.9502939105325167,(133) کسوسهن دان کساکيتن ايت قضاء,PRED
WM-1933-08-02-0005_29_Column-28-56,فيکران اورڠيڠ تياد هارڤن سهاج دان,فيکران اورڠيڠ تياد هارڤن سهاج دان,0.9457720639785697,فيکران اورڠيڠ تياد هارڤن سهاج دان,PRED
WM-1933-08-02-0006_35_Column-34-45,بݢيمان 10 تاهون دهولو. ڤراوباهن٢,مکيماك 10 تاهون دهولو. فراوباکن٢,0.7981068026815271,مکيماك 10 تاهون دهولو. فراوباکن٢,PRED
UM-1963-08-14-09-13-Column-14-0,فاسوقکن يڠ تله دکالهکن اوله, ناسيور بڠ نلأو ملڠکن أوله ,0.41868305148621343, ناسيور بڠ نلأو ملڠکن أوله ,PRED
UM-1963-08-24-09-7-Column-69-6,سيڠافورا هنتر,سيفوفارا هنتر,0.754592776814735,سيفوفارا هنتر,PRED
WM-1933-08-02-0003_19_Column-18-58,داڠکت سڤاي ممڠکو جواتن تڠکو,داڠکت سڤاي مڠکو جواتن تڠکو,0.9099542890371545,داڠکت سڤاي مڠکو جواتن تڠکو,PRED
UM-1963-08-17-07-17-Column-42-19,دأتس) تله مندافة اجازه بي.,(تله مدرفه اجازه),0.6132493379337027,(تله مدرفه اجازه),PRED
WM-1933-08-02-0006_31_Column-30-50,ݢنجيل تتاڤي اکن منجاديکن سسئورڠ,کنجل تتافي اکن منجاديکن سستورڠ,0.8694341285530314,کنجل تتافي اکن منجاديکن سستورڠ,PRED
WM-1933-08-02-0005_29_Column-28-3,فهم دان کليروان٢ دڠن تيدق اد,فهم دان اکليروان٢ دڠن تيدق اد,0.9443029578419813,فهم دان اکليروان٢ دڠن تيدق اد,PRED
UM-1963-08-17-10-17-Column-49-35,10.45 فاݢي اين دان ايسوق,10.45 فاکي اين دان اسون,0.8664735478434401,10.45 فاکي اين دان اسون,PRED
UM-1963-08-16-09-12-Column-29-5,فرتنديڠن سوکن يڠ باکل,فرڠتيلڠ سوكن نڠ باکل,0.7458684518557939,فرڠتيلڠ سوكن نڠ باکل,PRED
0007_warmal_19380526_0001_57,ڽاموء سنونجم سام ممبيلا,بامو سنونجم سام ممبيلا,0.7125569874763338,بامو سنونجم سام ممبيلا,PRED
0002_warmal_19380105_0002_124,فرنيݢأن يڠ سماچم ايت اکن دجالنکن,فرنيݢأن يڠ سماݢم ايت اکن دجالنکن ,0.8923667811725334,فرنيݢأن يڠ سماݢم ايت اکن دجالنکن ,PRED
