Identifier,ground_truth,prediction,confidence,chosen_text,chosen_source
1933-05-18_377_23,کمودين تله تياد برحاصيل اڤابيلا,کمودين تله تياد برحاصيل اڤابيلا,0.9493204093357719,کمودين تله تياد برحاصيل اڤابيلا,PRED
1933-03-08_2611_22,سکيراڽ اد دلاکوکن هالا مڠمبيل,سکيراڽ اد دلاکوکن هالا مڠمبيل,0.998943589229937,سکيراڽ اد دلاکوکن هالا مڠمبيل,PRED
1933-05-02_239_7,-------------------------------------- بارڠ2 سأورڠ ڤنجاهت. ,بارڠ2 سأورڠ ڤنجاهت ,0.850637277007054,بارڠ2 سأورڠ ڤنجاهت ,PRED
1937-12-09_1438_24,(ڤيهق يڠ برقواس يڠ منونجوققن,ڤيهق يڠ برقواس يڠ منونجووققن,0.8873802893676012,ڤيهق يڠ برقواس يڠ منونجووققن,PRED
1933-07-29_119_8,.هادڤن ڤڠاديل يڠ کتيݢ سمالم,هادڤن ڤڠکديل يڠ کتيݢ سمالم,0.9830224439451795,هادڤن ڤڠکديل يڠ کتيݢ سمالم,PRED
1937-03-24_1472_1,اورڠ لاݢي تله اوندور دري,اورڠ لاݢي تله اوندور دري,0.9718350517875007,اورڠ لاݢي تله اوندور دري,PRED
1933-07-05_86_41,اي تله مڽمبوت دي ساوله2ڽا,اي تله مڽمبوت دي ساوله2ڽا,0.9964991411353419,اي تله مڽمبوت دي ساوله2ڽا,PRED
1940-04-04_1333_9,اه تواي ڤادي اتاو ݢندوم,اه تواي ڤادي اتاو ݢندوم,0.9856839552145047,اه تواي ڤادي اتاو ݢندوم,PRED
1933-02-28_2278_25,کالاو دڤوهونکن رهمة ايت دسمڤايکن,کالاو دڤوهونکن رهمة ايت دسمڤايکن,0.9737852040268905,کالاو دڤوهونکن رهمة ايت دسمڤايکن,PRED
1933-07-25_391_26,اتس قيت مڽنتوهڽ اڤابيلا اداله,اتس قيت مڽنتوهڽ اڤابيلا اداله,0.9970141404996056,اتس قيت مڽنتوهڽ اڤابيلا اداله,PRED
1933-07-05_80_22,بهاس ملايو اڤ اداکه توان,بهاس ملايو اڤ اداکه توان,0.9088466792684999,بهاس ملايو اڤ اداکه توان,PRED
1933-07-26_2767_1,إسلام ڤد هاري راي. ڤڠهابيسن,إسلام ڤد هاري راي ڤڠهابيسن,0.9964440058403392,إسلام ڤد هاري راي ڤڠهابيسن,PRED
1940-06-03_1388_32,.”کتاب يڠ تراتور دالم حديث,كتاب يڠ تراتور دالم حديث,0.9486533536082201,كتاب يڠ تراتور دالم حديث,PRED
1940-08-02_2265_9,تياد ديکو باءيق. مک دڠن,تياد ديکو باءيق مک دڠن,0.9939569195806703,تياد ديکو باءيق مک دڠن,PRED
1933-07-04_744_44,تيدق هيراوکن ڤون ڤرکارا ايت,تيدق هيراوکن ڤون ڤرکارا ايت,0.9931777924150424,تيدق هيراوکن ڤون ڤرکارا ايت,PRED
1936-09-29_2005_0,ݢمبر اين منونجوقکن ڤراتورن يڠ,ݢمبر اين منونجوقکن ڤراتوون يڠ,0.8919780011345061,ݢمبر اين منونجوقکن ڤراتوون يڠ,PRED
1937-03-09_985_10,ماکن انجيڠ ايت لاءين درڤد,ماکن انجيڠ ايت لاءين درڤد,0.9948021175006178,ماکن انجيڠ ايت لاءين درڤد,PRED
1940-08-08_1597_4,يڠ لاءين درڤد بهاس عرب,يڠ لاءين درڤد بهاس عرب,0.9991368304128672,يڠ لاءين درڤد بهاس عرب,PRED
1933-03-08_2575_21,کران منجاݢ دان ممليهارا اݢام,کران منجاݢ دان مملبهارا اݢام,0.9916065151522556,کران منجاݢ دان مملبهارا اݢام,PRED
